STAR version=2.7.10b
STAR compilation time,server,dir=2023-12-20T15:44:32-05:00 ai-hpcgpu21.niaid.nih.gov:/data/home/svc_hpcinstaller/tmp/spack-stage/spack-stage-star-2.7.10b-djwbspg7savasevzsvc6diekfeeg2rwl/spack-src/source
STAR git: 
##### Command Line:
STAR --runThreadN 16 --runMode genomeGenerate --genomeDir /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/ --genomeFastaFiles /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa --sjdbGTFfile /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/ --sjdbOverhang 299
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    16     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/     ~RE-DEFINED
genomeFastaFiles              /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa        ~RE-DEFINED
sjdbGTFfile                   /data/vrc_his/douek_lab/reference_sets/hg38/Sequence/STAR/     ~RE-DEFINED
sjdbOverhang                  299     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 0  "chr1" chrStart: 0
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 1  "chr2" chrStart: 249036800
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 2  "chr3" chrStart: 491257856
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 3  "chr4" chrStart: 689700864
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 4  "chr5" chrStart: 880017408
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 5  "chr6" chrStart: 1061683200
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 6  "chr7" chrStart: 1232601088
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 7  "chr8" chrStart: 1391984640
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 8  "chr9" chrStart: 1537212416
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 9  "chr10" chrStart: 1675624448
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 10  "chr11" chrStart: 1809580032
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 11  "chr12" chrStart: 1944846336
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 12  "chr13" chrStart: 2078277632
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 13  "chr14" chrStart: 2192834560
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 14  "chr15" chrStart: 2300051456
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 15  "chr16" chrStart: 2402287616
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 16  "chr17" chrStart: 2492727296
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 17  "chr18" chrStart: 2576089088
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 18  "chr19" chrStart: 2656567296
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 19  "chr20" chrStart: 2715287552
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 20  "chr21" chrStart: 2779774976
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 21  "chr22" chrStart: 2826698752
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 22  "chrX" chrStart: 2877554688
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 23  "chrY" chrStart: 3033792512
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 24  "chrM" chrStart: 3091202048
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 25  "chr1_KI270706v1_random" chrStart: 3091464192
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 26  "chr1_KI270707v1_random" chrStart: 3091726336
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 27  "chr1_KI270708v1_random" chrStart: 3091988480
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 28  "chr1_KI270709v1_random" chrStart: 3092250624
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 29  "chr1_KI270710v1_random" chrStart: 3092512768
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 30  "chr1_KI270711v1_random" chrStart: 3092774912
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 31  "chr1_KI270712v1_random" chrStart: 3093037056
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 32  "chr1_KI270713v1_random" chrStart: 3093299200
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 33  "chr1_KI270714v1_random" chrStart: 3093561344
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 34  "chr2_KI270715v1_random" chrStart: 3093823488
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 35  "chr2_KI270716v1_random" chrStart: 3094085632
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 36  "chr3_GL000221v1_random" chrStart: 3094347776
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 37  "chr4_GL000008v2_random" chrStart: 3094609920
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 38  "chr5_GL000208v1_random" chrStart: 3094872064
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 39  "chr9_KI270717v1_random" chrStart: 3095134208
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 40  "chr9_KI270718v1_random" chrStart: 3095396352
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 41  "chr9_KI270719v1_random" chrStart: 3095658496
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 42  "chr9_KI270720v1_random" chrStart: 3095920640
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 43  "chr11_KI270721v1_random" chrStart: 3096182784
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 44  "chr14_GL000009v2_random" chrStart: 3096444928
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 45  "chr14_GL000225v1_random" chrStart: 3096707072
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 46  "chr14_KI270722v1_random" chrStart: 3096969216
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 47  "chr14_GL000194v1_random" chrStart: 3097231360
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 48  "chr14_KI270723v1_random" chrStart: 3097493504
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 49  "chr14_KI270724v1_random" chrStart: 3097755648
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 50  "chr14_KI270725v1_random" chrStart: 3098017792
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 51  "chr14_KI270726v1_random" chrStart: 3098279936
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 52  "chr15_KI270727v1_random" chrStart: 3098542080
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 53  "chr16_KI270728v1_random" chrStart: 3099066368
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 54  "chr17_GL000205v2_random" chrStart: 3101163520
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 55  "chr17_KI270729v1_random" chrStart: 3101425664
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 56  "chr17_KI270730v1_random" chrStart: 3101949952
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 57  "chr22_KI270731v1_random" chrStart: 3102212096
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 58  "chr22_KI270732v1_random" chrStart: 3102474240
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 59  "chr22_KI270733v1_random" chrStart: 3102736384
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 60  "chr22_KI270734v1_random" chrStart: 3102998528
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 61  "chr22_KI270735v1_random" chrStart: 3103260672
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 62  "chr22_KI270736v1_random" chrStart: 3103522816
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 63  "chr22_KI270737v1_random" chrStart: 3103784960
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 64  "chr22_KI270738v1_random" chrStart: 3104047104
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 65  "chr22_KI270739v1_random" chrStart: 3104309248
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 66  "chrY_KI270740v1_random" chrStart: 3104571392
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 67  "chrUn_KI270302v1" chrStart: 3104833536
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 68  "chrUn_KI270304v1" chrStart: 3105095680
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 69  "chrUn_KI270303v1" chrStart: 3105357824
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 70  "chrUn_KI270305v1" chrStart: 3105619968
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 71  "chrUn_KI270322v1" chrStart: 3105882112
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 72  "chrUn_KI270320v1" chrStart: 3106144256
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 73  "chrUn_KI270310v1" chrStart: 3106406400
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 74  "chrUn_KI270316v1" chrStart: 3106668544
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 75  "chrUn_KI270315v1" chrStart: 3106930688
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 76  "chrUn_KI270312v1" chrStart: 3107192832
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 77  "chrUn_KI270311v1" chrStart: 3107454976
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 78  "chrUn_KI270317v1" chrStart: 3107717120
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 79  "chrUn_KI270412v1" chrStart: 3107979264
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 80  "chrUn_KI270411v1" chrStart: 3108241408
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 81  "chrUn_KI270414v1" chrStart: 3108503552
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 82  "chrUn_KI270419v1" chrStart: 3108765696
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 83  "chrUn_KI270418v1" chrStart: 3109027840
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 84  "chrUn_KI270420v1" chrStart: 3109289984
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 85  "chrUn_KI270424v1" chrStart: 3109552128
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 86  "chrUn_KI270417v1" chrStart: 3109814272
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 87  "chrUn_KI270422v1" chrStart: 3110076416
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 88  "chrUn_KI270423v1" chrStart: 3110338560
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 89  "chrUn_KI270425v1" chrStart: 3110600704
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 90  "chrUn_KI270429v1" chrStart: 3110862848
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 91  "chrUn_KI270442v1" chrStart: 3111124992
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 92  "chrUn_KI270466v1" chrStart: 3111649280
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 93  "chrUn_KI270465v1" chrStart: 3111911424
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 94  "chrUn_KI270467v1" chrStart: 3112173568
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 95  "chrUn_KI270435v1" chrStart: 3112435712
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 96  "chrUn_KI270438v1" chrStart: 3112697856
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 97  "chrUn_KI270468v1" chrStart: 3112960000
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 98  "chrUn_KI270510v1" chrStart: 3113222144
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 99  "chrUn_KI270509v1" chrStart: 3113484288
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 100  "chrUn_KI270518v1" chrStart: 3113746432
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 101  "chrUn_KI270508v1" chrStart: 3114008576
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 102  "chrUn_KI270516v1" chrStart: 3114270720
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 103  "chrUn_KI270512v1" chrStart: 3114532864
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 104  "chrUn_KI270519v1" chrStart: 3114795008
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 105  "chrUn_KI270522v1" chrStart: 3115057152
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 106  "chrUn_KI270511v1" chrStart: 3115319296
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 107  "chrUn_KI270515v1" chrStart: 3115581440
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 108  "chrUn_KI270507v1" chrStart: 3115843584
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 109  "chrUn_KI270517v1" chrStart: 3116105728
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 110  "chrUn_KI270529v1" chrStart: 3116367872
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 111  "chrUn_KI270528v1" chrStart: 3116630016
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 112  "chrUn_KI270530v1" chrStart: 3116892160
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 113  "chrUn_KI270539v1" chrStart: 3117154304
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 114  "chrUn_KI270538v1" chrStart: 3117416448
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 115  "chrUn_KI270544v1" chrStart: 3117678592
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 116  "chrUn_KI270548v1" chrStart: 3117940736
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 117  "chrUn_KI270583v1" chrStart: 3118202880
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 118  "chrUn_KI270587v1" chrStart: 3118465024
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 119  "chrUn_KI270580v1" chrStart: 3118727168
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 120  "chrUn_KI270581v1" chrStart: 3118989312
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 121  "chrUn_KI270579v1" chrStart: 3119251456
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 122  "chrUn_KI270589v1" chrStart: 3119513600
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 123  "chrUn_KI270590v1" chrStart: 3119775744
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 124  "chrUn_KI270584v1" chrStart: 3120037888
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 125  "chrUn_KI270582v1" chrStart: 3120300032
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 126  "chrUn_KI270588v1" chrStart: 3120562176
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 127  "chrUn_KI270593v1" chrStart: 3120824320
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 128  "chrUn_KI270591v1" chrStart: 3121086464
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 129  "chrUn_KI270330v1" chrStart: 3121348608
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 130  "chrUn_KI270329v1" chrStart: 3121610752
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 131  "chrUn_KI270334v1" chrStart: 3121872896
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 132  "chrUn_KI270333v1" chrStart: 3122135040
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 133  "chrUn_KI270335v1" chrStart: 3122397184
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 134  "chrUn_KI270338v1" chrStart: 3122659328
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 135  "chrUn_KI270340v1" chrStart: 3122921472
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 136  "chrUn_KI270336v1" chrStart: 3123183616
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 137  "chrUn_KI270337v1" chrStart: 3123445760
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 138  "chrUn_KI270363v1" chrStart: 3123707904
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 139  "chrUn_KI270364v1" chrStart: 3123970048
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 140  "chrUn_KI270362v1" chrStart: 3124232192
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 141  "chrUn_KI270366v1" chrStart: 3124494336
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 142  "chrUn_KI270378v1" chrStart: 3124756480
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 143  "chrUn_KI270379v1" chrStart: 3125018624
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 144  "chrUn_KI270389v1" chrStart: 3125280768
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 145  "chrUn_KI270390v1" chrStart: 3125542912
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 146  "chrUn_KI270387v1" chrStart: 3125805056
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 147  "chrUn_KI270395v1" chrStart: 3126067200
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 148  "chrUn_KI270396v1" chrStart: 3126329344
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 149  "chrUn_KI270388v1" chrStart: 3126591488
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 150  "chrUn_KI270394v1" chrStart: 3126853632
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 151  "chrUn_KI270386v1" chrStart: 3127115776
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 152  "chrUn_KI270391v1" chrStart: 3127377920
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 153  "chrUn_KI270383v1" chrStart: 3127640064
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 154  "chrUn_KI270393v1" chrStart: 3127902208
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 155  "chrUn_KI270384v1" chrStart: 3128164352
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 156  "chrUn_KI270392v1" chrStart: 3128426496
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 157  "chrUn_KI270381v1" chrStart: 3128688640
/data/vrc_his/douek_lab/reference_sets/hg38/Sequence/WholeGenomeFasta/genome.fa : chr # 158  "chrUn_KI270385v1" chrStart: 3128950784
